deleted network stats,12-12-2022_20:28:36
#################### NETWORK STATS 15/12/2022 00:39:45 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:39:46 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:39:47 ####################
Sent,0.1396484375 MB
Received,0.859375 MB
#################### NETWORK STATS 15/12/2022 00:39:49 ####################
Sent,0.052734375 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:39:50 ####################
Sent,0.0537109375 MB
Received,0.064453125 MB
#################### NETWORK STATS 15/12/2022 00:39:51 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:39:52 ####################
Sent,9.9072265625 MB
Received,1128.8154296875 MB
#################### NETWORK STATS 15/12/2022 00:39:54 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:39:55 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:39:56 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:39:57 ####################
Sent,1.923828125 MB
Received,0.9111328125 MB
#################### NETWORK STATS 15/12/2022 00:39:59 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:40:00 ####################
Sent,0.052734375 MB
Received,0.052734375 MB
#################### NETWORK STATS 15/12/2022 00:40:01 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:40:02 ####################
Sent,0.0 MB
Received,0.3095703125 MB
#################### NETWORK STATS 15/12/2022 00:40:04 ####################
Sent,2.5634765625 MB
Received,15.0693359375 MB
#################### NETWORK STATS 15/12/2022 00:40:05 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:40:06 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:40:07 ####################
Sent,0.1396484375 MB
Received,0.9560546875 MB
#################### NETWORK STATS 15/12/2022 00:40:09 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:40:10 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:40:11 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:40:13 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:40:14 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:40:15 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:40:16 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:40:18 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:40:19 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:40:20 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:40:21 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:40:23 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:40:24 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:40:25 ####################
Sent,0.0 MB
Received,0.1240234375 MB
#################### NETWORK STATS 15/12/2022 00:40:26 ####################
Sent,3.1943359375 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:40:28 ####################
Sent,0.107421875 MB
Received,0.12890625 MB
#################### NETWORK STATS 15/12/2022 00:40:29 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:40:30 ####################
Sent,0.0 MB
Received,0.052734375 MB
#################### NETWORK STATS 15/12/2022 00:40:31 ####################
Sent,0.0 MB
Received,0.041015625 MB
#################### NETWORK STATS 15/12/2022 00:40:33 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:40:34 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:40:35 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:40:36 ####################
Sent,0.0 MB
Received,0.041015625 MB
#################### NETWORK STATS 15/12/2022 00:40:38 ####################
Sent,0.4228515625 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:40:39 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:40:40 ####################
Sent,0.0 MB
Received,0.0 MB
