Available memory,5.4 GB
In use memory,10.47 GB
Memory usage,5.4%
#################### MEMORY STATS 13/12/2022 14:01:44 ####################
Total memory,15.87 GB
Available memory,5.4 GB
In use memory,10.48 GB
Memory usage,5.4%
#################### MEMORY STATS 13/12/2022 14:01:45 ####################
Total memory,15.87 GB
Available memory,5.37 GB
In use memory,10.5 GB
Memory usage,5.37%
#################### MEMORY STATS 13/12/2022 14:01:46 ####################
Total memory,15.87 GB
Available memory,5.29 GB
In use memory,10.59 GB
Memory usage,5.29%
#################### MEMORY STATS 13/12/2022 14:01:48 ####################
Total memory,15.87 GB
Available memory,5.26 GB
In use memory,10.62 GB
Memory usage,5.26%
#################### MEMORY STATS 13/12/2022 14:01:49 ####################
Total memory,15.87 GB
Available memory,5.25 GB
In use memory,10.62 GB
Memory usage,5.25%
#################### MEMORY STATS 13/12/2022 14:01:50 ####################
Total memory,15.87 GB
Available memory,5.25 GB
In use memory,10.62 GB
Memory usage,5.25%
#################### MEMORY STATS 13/12/2022 14:01:51 ####################
Total memory,15.87 GB
Available memory,5.24 GB
In use memory,10.63 GB
Memory usage,5.24%
#################### MEMORY STATS 13/12/2022 14:01:53 ####################
Total memory,15.87 GB
Available memory,5.19 GB
In use memory,10.69 GB
Memory usage,5.19%
#################### MEMORY STATS 13/12/2022 14:01:54 ####################
Total memory,15.87 GB
Available memory,5.21 GB
In use memory,10.66 GB
Memory usage,5.21%
#################### MEMORY STATS 13/12/2022 14:01:55 ####################
Total memory,15.87 GB
Available memory,5.15 GB
In use memory,10.72 GB
Memory usage,5.15%
#################### MEMORY STATS 13/12/2022 14:01:56 ####################
Total memory,15.87 GB
Available memory,5.13 GB
In use memory,10.74 GB
Memory usage,5.13%
#################### MEMORY STATS 13/12/2022 14:01:58 ####################
Total memory,15.87 GB
Available memory,5.14 GB
In use memory,10.73 GB
Memory usage,5.14%
#################### MEMORY STATS 13/12/2022 14:01:59 ####################
Total memory,15.87 GB
Available memory,5.13 GB
In use memory,10.74 GB
Memory usage,5.13%
