cpu stats deleted,12-12-2022_17-08-35
#################### CPU STATS 12/12/2022 17:08:28 ####################
CPU,Core 0,15.2%
CPU,Core 1,15.6%
CPU,Core 2,3.1%
CPU,Core 3,9.4%
CPU,Core 4,15.6%
CPU,Core 5,9.4%
CPU,Core 6,15.6%
CPU,Core 7,9.4%
CPU,Core 8,6.2%
CPU,Core 9,3.0%
CPU,Core 10,6.2%
CPU,Core 11,6.2%
#################### CPU STATS 12/12/2022 17:11:00 ####################
CPU,Core 0,14.3%
CPU,Core 1,9.1%
CPU,Core 2,9.1%
CPU,Core 3,6.1%
CPU,Core 4,3.0%
CPU,Core 5,3.0%
CPU,Core 6,3.0%
CPU,Core 7,3.0%
CPU,Core 8,3.0%
CPU,Core 9,3.0%
CPU,Core 10,3.0%
CPU,Core 11,3.0%
#################### CPU STATS 12/12/2022 17:11:01 ####################
CPU,Core 0,8.8%
CPU,Core 1,0.0%
CPU,Core 2,3.0%
CPU,Core 3,0.0%
CPU,Core 4,3.0%
CPU,Core 5,0.0%
CPU,Core 6,0.0%
CPU,Core 7,0.0%
CPU,Core 8,0.0%
CPU,Core 9,0.0%
CPU,Core 10,0.0%
CPU,Core 11,0.0%
#################### CPU STATS 12/12/2022 17:11:03 ####################
CPU,Core 0,12.1%
CPU,Core 1,3.1%
CPU,Core 2,3.1%
CPU,Core 3,6.2%
CPU,Core 4,6.2%
CPU,Core 5,6.2%
CPU,Core 6,6.2%
CPU,Core 7,3.1%
CPU,Core 8,3.1%
CPU,Core 9,6.2%
CPU,Core 10,3.1%
CPU,Core 11,3.1%
#################### CPU STATS 12/12/2022 17:11:04 ####################
CPU,Core 0,9.1%
CPU,Core 1,3.0%
CPU,Core 2,3.0%
CPU,Core 3,3.0%
CPU,Core 4,6.1%
CPU,Core 5,3.0%
CPU,Core 6,3.0%
CPU,Core 7,3.0%
CPU,Core 8,3.1%
CPU,Core 9,3.0%
CPU,Core 10,3.0%
CPU,Core 11,3.1%
#################### CPU STATS 12/12/2022 17:11:05 ####################
CPU,Core 0,14.3%
CPU,Core 1,3.0%
CPU,Core 2,3.0%
CPU,Core 3,0.0%
CPU,Core 4,0.0%
CPU,Core 5,0.0%
CPU,Core 6,0.0%
CPU,Core 7,0.0%
CPU,Core 8,0.0%
CPU,Core 9,0.0%
CPU,Core 10,0.0%
CPU,Core 11,3.0%
#################### CPU STATS 12/12/2022 17:11:06 ####################
CPU,Core 0,15.2%
CPU,Core 1,3.1%
CPU,Core 2,6.2%
CPU,Core 3,6.2%
CPU,Core 4,3.1%
CPU,Core 5,3.1%
CPU,Core 6,6.2%
CPU,Core 7,3.1%
CPU,Core 8,3.1%
CPU,Core 9,3.1%
CPU,Core 10,0.0%
CPU,Core 11,3.1%
#################### CPU STATS 12/12/2022 17:11:08 ####################
CPU,Core 0,0.0%
CPU,Core 1,0.0%
CPU,Core 2,0.0%
CPU,Core 3,0.0%
CPU,Core 4,3.0%
CPU,Core 5,0.0%
CPU,Core 6,0.0%
CPU,Core 7,0.0%
CPU,Core 8,0.0%
CPU,Core 9,3.0%
CPU,Core 10,0.0%
CPU,Core 11,0.0%
#################### CPU STATS 12/12/2022 17:11:09 ####################
CPU,Core 0,5.9%
CPU,Core 1,0.0%
CPU,Core 2,3.0%
CPU,Core 3,0.0%
CPU,Core 4,0.0%
CPU,Core 5,0.0%
CPU,Core 6,0.0%
CPU,Core 7,0.0%
CPU,Core 8,0.0%
CPU,Core 9,0.0%
CPU,Core 10,0.0%
CPU,Core 11,0.0%
#################### CPU STATS 12/12/2022 17:11:10 ####################
CPU,Core 0,9.1%
CPU,Core 1,6.2%
CPU,Core 2,12.5%
CPU,Core 3,6.2%
CPU,Core 4,6.2%
CPU,Core 5,6.2%
CPU,Core 6,9.4%
CPU,Core 7,6.2%
CPU,Core 8,3.1%
CPU,Core 9,3.1%
CPU,Core 10,3.1%
CPU,Core 11,3.1%
#################### CPU STATS 12/12/2022 17:11:11 ####################
CPU,Core 0,14.7%
CPU,Core 1,6.1%
CPU,Core 2,12.1%
CPU,Core 3,6.1%
CPU,Core 4,6.1%
CPU,Core 5,6.1%
CPU,Core 6,15.2%
CPU,Core 7,12.1%
CPU,Core 8,3.0%
CPU,Core 9,0.0%
CPU,Core 10,6.1%
CPU,Core 11,6.1%
#################### CPU STATS 12/12/2022 17:11:13 ####################
CPU,Core 0,6.1%
CPU,Core 1,6.1%
CPU,Core 2,0.0%
CPU,Core 3,9.1%
CPU,Core 4,0.0%
CPU,Core 5,3.0%
CPU,Core 6,0.0%
CPU,Core 7,3.0%
CPU,Core 8,3.1%
CPU,Core 9,0.0%
CPU,Core 10,3.0%
CPU,Core 11,0.0%
#################### CPU STATS 12/12/2022 17:11:14 ####################
CPU,Core 0,20.0%
CPU,Core 1,9.1%
CPU,Core 2,9.1%
CPU,Core 3,6.1%
CPU,Core 4,6.1%
CPU,Core 5,9.1%
CPU,Core 6,9.1%
CPU,Core 7,9.1%
CPU,Core 8,9.1%
CPU,Core 9,6.1%
CPU,Core 10,6.1%
CPU,Core 11,9.1%
#################### CPU STATS 12/12/2022 17:11:15 ####################
CPU,Core 0,8.8%
CPU,Core 1,0.0%
CPU,Core 2,6.1%
CPU,Core 3,0.0%
CPU,Core 4,3.0%
CPU,Core 5,0.0%
CPU,Core 6,3.0%
CPU,Core 7,0.0%
CPU,Core 8,0.0%
CPU,Core 9,0.0%
CPU,Core 10,0.0%
CPU,Core 11,0.0%
#################### CPU STATS 12/12/2022 17:11:16 ####################
CPU,Core 0,6.1%
CPU,Core 1,3.0%
CPU,Core 2,0.0%
CPU,Core 3,0.0%
CPU,Core 4,3.0%
CPU,Core 5,0.0%
CPU,Core 6,3.0%
CPU,Core 7,0.0%
CPU,Core 8,0.0%
CPU,Core 9,3.0%
CPU,Core 10,0.0%
CPU,Core 11,0.0%
#################### CPU STATS 12/12/2022 17:11:18 ####################
CPU,Core 0,17.6%
CPU,Core 1,6.2%
CPU,Core 2,6.2%
CPU,Core 3,9.1%
CPU,Core 4,6.2%
CPU,Core 5,6.2%
CPU,Core 6,6.2%
CPU,Core 7,6.1%
CPU,Core 8,6.1%
CPU,Core 9,3.0%
CPU,Core 10,3.0%
CPU,Core 11,6.1%
#################### CPU STATS 12/12/2022 17:11:19 ####################
CPU,Core 0,14.3%
CPU,Core 1,6.1%
CPU,Core 2,12.1%
CPU,Core 3,8.8%
CPU,Core 4,3.0%
CPU,Core 5,3.0%
CPU,Core 6,3.0%
CPU,Core 7,6.1%
CPU,Core 8,3.0%
CPU,Core 9,6.1%
CPU,Core 10,6.1%
CPU,Core 11,6.1%
#################### CPU STATS 12/12/2022 17:11:20 ####################
CPU,Core 0,0.0%
CPU,Core 1,9.1%
CPU,Core 2,3.0%
CPU,Core 3,0.0%
CPU,Core 4,3.0%
CPU,Core 5,0.0%
CPU,Core 6,0.0%
CPU,Core 7,3.0%
CPU,Core 8,0.0%
CPU,Core 9,0.0%
CPU,Core 10,0.0%
CPU,Core 11,0.0%
#################### CPU STATS 12/12/2022 17:11:22 ####################
CPU,Core 0,9.1%
CPU,Core 1,9.1%
CPU,Core 2,9.1%
CPU,Core 3,3.0%
CPU,Core 4,6.1%
CPU,Core 5,3.0%
CPU,Core 6,6.1%
CPU,Core 7,6.1%
CPU,Core 8,3.0%
CPU,Core 9,6.1%
CPU,Core 10,3.0%
CPU,Core 11,6.1%
#################### CPU STATS 12/12/2022 17:11:23 ####################
CPU,Core 0,3.0%
CPU,Core 1,0.0%
CPU,Core 2,3.0%
CPU,Core 3,3.0%
CPU,Core 4,6.1%
CPU,Core 5,0.0%
CPU,Core 6,6.1%
CPU,Core 7,0.0%
CPU,Core 8,3.0%
CPU,Core 9,0.0%
CPU,Core 10,3.0%
CPU,Core 11,3.0%
#################### CPU STATS 12/12/2022 17:11:24 ####################
CPU,Core 0,3.0%
CPU,Core 1,3.0%
CPU,Core 2,3.0%
CPU,Core 3,0.0%
CPU,Core 4,0.0%
CPU,Core 5,0.0%
CPU,Core 6,3.0%
CPU,Core 7,0.0%
CPU,Core 8,0.0%
CPU,Core 9,0.0%
CPU,Core 10,0.0%
CPU,Core 11,0.0%
#################### CPU STATS 12/12/2022 17:11:25 ####################
CPU,Core 0,20.0%
